wjsample,wjsample-time
1517.0,0.665
24136.0,0.578
31955.0,0.679
428611.0,0.868
242147.0,1.583
706858.0,1.578
4300074.0,1.433
5094229.0,1.354
68394736.0,1.386
90551103.0,1.407
1083.0,0.61
922.0,0.587
25181.0,0.557
799809.0,1.351
2913.0,1.474
3857.0,1.39
51735.0,1.422
105336.0,1.312
1412860.0,1.356
1202370.0,1.443
3336153.0,2.71
20314640.0,2.746
26895536.0,2.728
427786363.0,2.762
3039.0,1.273
12714.0,2.686
170539.0,2.672
145132.0,2.581
3963460.0,2.643
-1.0,-1.0
478408.0,5.493
174305.0,0.184
51772.0,0.652
248768.0,0.58
145272.0,0.597
14783229.0,0.583
11102.0,0.266
91593.0,0.169
34381.0,0.19
15875.0,0.729
22516.0,0.564
49021.0,0.599
51772.0,0.61
248768.0,0.629
145272.0,0.673
14783229.0,0.818
73889.0,1.481
95137.0,1.307
4390923.0,1.341
207132.0,1.355
21098628.0,1.493
12320890.0,1.386
11056.0,0.637
4150.0,0.574
34238.0,0.587
32197.0,1.352
30028.0,1.444
17535.0,1.366
1784415.0,1.338
144667.0,1.299
14721670.0,1.376
5526031.0,1.434
135648.0,2.741
6266726.0,2.747
3659557.0,2.689
17584377.0,2.813
4133.0,1.266
17462.0,2.706
1776984.0,2.619
667022.0,2.549
5503020.0,2.679
5222921.0,5.803
664244.0,5.498
135155.0,0.196
40175.0,0.576
1853.0,0.574
1075686.0,0.629
11155175.0,0.596
11093.0,0.192
878.0,0.175
327807.0,0.177
152.0,0.576
214845.0,0.532
4489.0,0.687
40144.0,0.581
1852.0,0.594
1074844.0,0.693
11146442.0,0.8
550.0,1.438
704455.0,1.239
3313316.0,1.522
14719.0,1.333
152787.0,1.535
88713396.0,1.377
106.0,0.594
39568.0,0.538
3133.0,0.55
2948.0,1.245
224.0,1.467
129739.0,1.295
1345436.0,1.443
10272.0,1.311
106525.0,1.335
39757615.0,1.454
9639.0,2.614
45381.0,2.474
26349700.0,2.632
1215065.0,2.776
378.0,1.233
1240.0,2.475
12858.0,2.534
4798958.0,2.568
379957.0,2.678
360903.0,5.572
45861.0,5.42
78741.0,0.198
51279.0,0.598
763595.0,0.583
3340.0,0.595
14642356.0,0.635
5063.0,0.201
129460.0,0.19
364.0,0.197
49198.0,0.625
523.0,0.56
3526.0,0.555
23388.0,0.592
348265.0,0.638
1523.0,0.618
6678179.0,0.815
226803.0,1.525
2187.0,1.283
4349081.0,1.331
14758.0,1.343
64762330.0,1.36
283248.0,1.465
15627.0,0.644
44.0,0.577
1123.0,0.534
2318.0,1.28
42037.0,1.567
184.0,1.463
806093.0,1.366
4700.0,1.393
20609737.0,1.433
57941.0,1.458
9664.0,2.697
19235744.0,2.631
84131.0,2.711
1252794.0,2.681
136.0,1.311
568.0,2.642
2487708.0,2.582
6994.0,2.5
178814.0,2.536
372105.0,5.562
21583.0,5.283
17031.0,0.206
823461.0,0.739
1386190.0,0.585
29624.0,0.224
32055.0,0.212
306023.0,0.549
8846.0,0.202
1548362.0,0.585
79851.0,0.174
80461.0,0.617
135445.0,0.716
579950.0,0.876
16764.0,0.452
6542392.0,1.375
105665.0,0.658
1008766.0,0.835
29160.0,0.396
1091537.0,1.01
31552.0,0.41
17517.0,0.571
446477.0,1.518
1911729.0,1.345
55260.0,0.831
2101513.0,1.423
59795.0,0.808
33196.0,1.247
3598112.0,1.446
104009.0,0.79
57742.0,0.697
62479.0,0.743
6818838.0,2.648
197104.0,1.799
109425.0,1.24
118405.0,1.314
205957.0,1.268
390303.0,2.505
26434.0,0.233
636003.0,0.608
1070628.0,0.587
59532.0,0.223
64417.0,0.222
614976.0,0.558
17045.0,0.241
1548362.0,0.572
76564.0,0.205
124883.0,0.6
210224.0,0.724
900138.0,0.906
24949.0,0.464
5053036.0,1.318
212342.0,0.568
2027189.0,0.876
56187.0,0.397
2193523.0,0.841
60797.0,0.442
33752.0,0.514
692976.0,1.427
2967190.0,1.458
82241.0,0.803
3261754.0,1.458
88989.0,0.95
49404.0,0.771
7230667.0,1.425
200410.0,0.798
111261.0,0.74
120389.0,0.725
10583503.0,2.939
293341.0,1.917
162852.0,1.285
176215.0,1.334
396849.0,1.236
580870.0,2.573
37057.0,0.254
248768.0,0.64
1102482.0,0.647
19473.0,0.214
55471.0,0.194
665849.0,0.578
17641.0,0.206
372026.0,0.722
73184.0,0.196
52888.0,0.584
234387.0,0.615
1261860.0,0.917
33432.0,0.439
1571944.0,1.306
55240.0,0.627
663076.0,0.823
17568.0,0.425
1888899.0,0.82
50044.0,0.414
34932.0,0.496
233411.0,1.387
1256606.0,1.448
33293.0,0.8
3636653.0,1.47
94841.0,0.804
66202.0,0.738
1881033.0,1.391
49837.0,0.807
34788.0,0.713
99096.0,0.704
3564773.0,2.665
94446.0,1.862
65926.0,1.249
187803.0,1.232
98687.0,1.289
187021.0,2.598
5433.0,0.204
823461.0,0.597
145272.0,0.587
9451.0,0.201
1072.0,0.217
96423.0,0.557
2765.0,0.214
162268.0,0.595
77263.0,0.202
25668.0,0.659
4528.0,0.599
182734.0,0.887
5240.0,0.49
685639.0,1.325
3534.0,0.56
317847.0,0.96
9114.0,0.402
36043.0,0.873
1034.0,0.404
5408.0,0.498
14926.0,1.288
602358.0,1.353
17273.0,0.792
69394.0,1.527
1959.0,0.845
10248.0,0.932
118813.0,1.358
3407.0,0.794
17825.0,0.736
2022.0,0.71
225164.0,2.649
6457.0,1.813
33782.0,1.224
3831.0,1.258
6663.0,1.223
12628.0,2.51
11708.0,0.206
823461.0,0.589
5510.0,0.593
20365.0,0.192
88.0,0.184
210372.0,0.603
6081.0,0.206
6154.0,0.55
79851.0,0.174
55312.0,0.603
370.0,0.679
398679.0,0.866
11524.0,0.432
26006.0,1.419
290.0,0.552
693463.0,0.968
20045.0,0.366
2983.0,0.801
86.0,0.346
12042.0,0.53
1220.0,1.278
1314192.0,1.331
37987.0,0.766
5742.0,1.443
163.0,0.77
22820.0,0.717
9832.0,1.355
284.0,0.776
39693.0,0.635
170.0,0.72
18632.0,2.508
539.0,1.73
75221.0,1.217
323.0,1.213
562.0,1.16
1067.0,2.421
8746.0,0.189
639007.0,0.554
1066725.0,0.589
19604.0,0.194
21035.0,0.209
202020.0,0.541
5673.0,0.235
1535463.0,0.667
77202.0,0.248
41317.0,0.595
68972.0,0.701
297092.0,0.983
8343.0,0.429
5034615.0,1.376
69339.0,0.543
665932.0,0.814
18700.0,0.436
714570.0,0.811
20066.0,0.376
11207.0,0.47
227357.0,1.382
979327.0,1.348
27502.0,0.772
1067580.0,1.465
29510.0,0.785
16481.0,0.763
2355488.0,1.477
66144.0,0.772
36940.0,0.707
39639.0,0.671
3464006.0,2.638
97278.0,1.792
54328.0,1.221
58295.0,1.241
130662.0,1.245
192165.0,2.485
23892677.0,0.601
167255.0,0.2
40162.0,0.195
